algo,arch_config,model_config,phase,dataset,expert_grouping,num_expert_group,batch_per_chip,density_factor,token_routing_algo,comp_tput_to_mem_bw_ratio,avg_time_ms,avg_copy_ms,avg_experts,total_batches
cpu_max_flow,GPU16.yaml,deepseek-v3.yaml,decode,humaneval,eplb,16,32,1.125,mem_bound_baseline,562.5,0.3204350025000002,0.028523520077578725,12.78,400
gpu_max_flow,GPU16.yaml,deepseek-v3.yaml,decode,humaneval,eplb,16,32,1.125,mem_bound_baseline,562.5,0.05780479738488793,0.029584319996647537,12.78,400
gpu_greedy_lock,GPU16.yaml,deepseek-v3.yaml,decode,humaneval,eplb,16,32,1.125,mem_bound_baseline,562.5,0.005452127500000003,0.013921279970090836,12.8175,400
eplb,GPU16.yaml,deepseek-v3.yaml,decode,humaneval,eplb,16,32,1.125,mem_bound_baseline,562.5,0.0,0.0,15.3475,400
cpu_max_flow,GPU16.yaml,deepseek-v3.yaml,decode,humaneval,eplb,16,32,1.25,mem_bound_baseline,562.5,0.34460304999999997,0.029112320095300674,12.435,400
gpu_max_flow,GPU16.yaml,deepseek-v3.yaml,decode,humaneval,eplb,16,32,1.25,mem_bound_baseline,562.5,0.057454077433794735,0.030178719949908554,12.435,400
gpu_greedy_lock,GPU16.yaml,deepseek-v3.yaml,decode,humaneval,eplb,16,32,1.25,mem_bound_baseline,562.5,0.006306889999999998,0.013936639979947358,12.51,400
eplb,GPU16.yaml,deepseek-v3.yaml,decode,humaneval,eplb,16,32,1.25,mem_bound_baseline,562.5,0.0,0.0,17.185,400
cpu_max_flow,GPU16.yaml,deepseek-v3.yaml,decode,humaneval,eplb,16,32,1.375,mem_bound_baseline,562.5,0.3623436200000001,0.028206079970113932,12.16,400
gpu_max_flow,GPU16.yaml,deepseek-v3.yaml,decode,humaneval,eplb,16,32,1.375,mem_bound_baseline,562.5,0.05729279742576182,0.029903839998878537,12.16,400
gpu_greedy_lock,GPU16.yaml,deepseek-v3.yaml,decode,humaneval,eplb,16,32,1.375,mem_bound_baseline,562.5,0.006793835000000003,0.01424896000418812,12.2725,400
eplb,GPU16.yaml,deepseek-v3.yaml,decode,humaneval,eplb,16,32,1.375,mem_bound_baseline,562.5,0.0,0.0,18.91,400
